,Consistency,TotalConsistency,Form,Opposition,Venue,DreamTeam
Faf du Plessis,2.956,2.956,3.502,3.4464,3.9454,1
Ambati Rayudu,2.8799,3.2691,2.788,3.4436,3.113,3
MS Dhoni,3.951,4.2076,3.9282,4.3914,3.6902,1
Narayan Jagadeesan,2.4144,2.4144,0,2.4144,2.48,3
Sam Curran,1.8312,2.313,2.504,0.7354,2.41,0
Ravindra Jadeja,2.4186,2.899,2.822,2.5884,3.656,1
Dwayne Bravo,2.4186,2.7308,1.9696,2.6966,1.4706,1
Devdutt Padikkal,2.621,2.621,0,2.2634,3.9682,3
Aaron Finch,2.0438,2.497,0,2.289,4.001,1
Virat Kohli,4.1977,4.1977,3.8335,4.296,3.9454,5
AB de Villiers,4.183,4.5183,4.1904,3.5555,4.5782,0
Gurkeerat Singh Mann,2.772,1.703,2.772,1.7202,0,0
Shivam Dube,1.713,1.713,1.713,2.1392,3.3822,1
Chris Morris,0,2.2802,1.0774,1.7656,0,0
Washington Sundar,1.6802,1.6802,0.7354,2.2902,2.1408,1
David Warner,3.9592,4.5183,4.4265,3.7586,4.3944,4
Jonny Bairstow,3.4571,3.4571,3.9047,2.5654,4.3216,2
Manish Pandey,2.6438,3.2691,3.6716,3.1784,3.7616,4
Kane Williamson,2.6994,2.6994,2.4514,3.5604,3.7214,2
Vijay Shankar,2.162,2.162,2.909,2.1206,0.2566,0
Priyam Garg,2.313,2.313,0,1.864,3.3808,2
Abhishek Sharma,1.713,1.864,1.1358,0,2.4428,0
Jos Buttler,3.2538,3.107,3.1398,1.7546,2.0352,2
Robin Uthappa,1.411,3.3224,2.8848,3.2768,2.8222,2
Sanju Samson,2.6775,2.8118,3.6239,4.2541,2.1408,2
Steven Smith,2.6438,3.1921,3.0944,3.2398,1.5308,1
Ben Stokes,1.6802,2.3981,2.2974,2.1278,1.0176,1
Riyan Parag,2.162,2.162,2.8776,1.0116,3.3466,3
Rahul Tewatia,2.772,2.3458,1.9882,3.1426,3.4976,3
Quinton de Kock,2.6438,2.7659,3.7158,3.0286,3.4864,4
Rohit Sharma,3.7509,4.0075,3.2768,3.8142,4.001,1
Suryakumar Yadav,2.6438,2.4414,3.703,3.4278,4.5782,4
Ishan Kishan,2.1292,2.1848,1.8186,2.4828,2.1408,2
Hardik Pandya,2.5368,2.5368,4.1262,2.5754,3.8084,0
Kieron Pollard,3.6202,3.6202,3.5418,3.2738,4.2674,1
Krunal Pandya,2.5696,2.5696,2.641,3.5418,2.2136,1
Prithvi Shaw,2.3686,2.3686,3.1784,1.8186,1.2742,1
Shikhar Dhawan,2.6994,3.8042,3.7714,4.296,3.8256,4
Ajinkya Rahane,1.562,3.8296,3.5285,3.8142,4.0196,2
Shreyas Iyer,2.9232,2.9232,3.6076,3.2212,2.3432,3
Alex Carey,1.0116,1.0116,0,1.0116,1.0444,1
Marcus Stoinis,2.772,2.5882,3.3736,2.2788,2.1534,1
Axar Patel,1.6802,1.904,2.3844,2.2006,1.5308,0
Ravichandran Ashwin,0.8338,1.753,1.5632,1.88,1.1686,0
Devdutt Padikkal,2.621,2.621,0,2.5654,0,3
Aaron Finch,2.0438,2.497,0,3.3166,2.7694,4
AB de Villiers,4.183,4.5183,4.1904,3.8112,1.4438,5
Virat Kohli,4.1977,4.1977,3.8335,3.9519,3.3466,3
Washington Sundar,1.6802,1.6802,0.7354,0.4076,0,0
Shivam Dube,1.713,1.713,1.713,0,0,0
Chris Morris,0,2.2802,1.0774,1.5506,0,0
Tom Banton,0.9848,0.9848,0,0.9848,0,1
Shubman Gill,2.6766,2.6766,3.502,2.3958,2.2048,3
Nitish Rana,2.2176,2.2176,3.298,3.3908,3.4634,1
Eoin Morgan,2.162,2.4742,0,1.9242,3.241,1
Dinesh Karthik,2.7948,3.3224,3.5974,3.1784,1.5308,1
Andre Russell,3.0514,3.0514,4.0364,4.1262,1.8968,2
Rahul Tripathi,2.621,2.2176,2.3004,3.5604,2.782,2
David Warner,3.9592,4.5183,4.4265,3.7386,4.3944,
