,Consistency,TotalConsistency,Form,RecentForm,Opposition,Venue,BatBowl,DreamTeam
Rahul Chahar,2.129,2.129,3.3539,2.3609,1.2929,2.9129,0,1
Trent Boult,1.9693,2.6091,2.2158,2.4819,3.4587,3.052,0,0
Jasprit Bumrah,3.1297,3.3931,4.1531,1.8102,4.0941,2.7738,0,1
Ambati Rayudu,2.8799,3.2691,2.788,2.621,4.3225,2.3974,1,0
Shane Watson,2.4996,3.8855,3.1684,1.562,4.0473,1.5308,1,0
Faf du Plessis,2.956,2.956,3.502,3.2538,3.1228,2.8564,1,1
Kedar Jadhav,1.4338,2.4414,2.138,1.562,3.7984,1.7332,1,0
MS Dhoni,3.951,4.2076,3.9282,2.9916,4.3914,3.8598,1,1
Ravindra Jadeja,2.4186,2.899,2.822,2.3458,2.9718,3.8256,1,1
Dwayne Bravo,2.4186,2.7308,1.9696,0,2.1808,0,1,0
Sam Curran,2.2902,2.313,2.504,2.2902,1.0116,1.301,1,0
David Warner,3.9592,4.5183,4.4265,1.9882,3.7386,3.9868,1,1
Jonny Bairstow,3.4571,3.4571,3.9047,2.001,2.7464,3.1428,1,0
Manish Pandey,2.6438,3.0125,3.6716,2.1948,2.5456,3.026,1,1
Kane Williamson,2.6994,2.6994,2.4514,2.1392,3.8726,1.0176,1,0
Abdul Samad,1.0116,1.0116,0,1.0116,0.8606,0.8934,1,1
Priyam Garg,3.1982,3.1982,0,3.1982,1.0672,3.72,1,1
Shane Watson,1.2589,3.5161,0,0,3.8011,0.5801,0,0
Ravindra Jadeja,3.4372,3.8665,3.9654,1.2471,2.8814,3.7427,0,1
Dwayne Bravo,3.5104,4.0987,3.1119,0.6115,4.0941,0.8584,0,0
Sam Curran,1.7743,1.8973,3.0496,2.2399,0.9531,1.7612,0,0
Piyush Chawla,1.7743,4.5218,2.8032,2.2399,3.4145,3.1912,0,0
Shardul Thakur,2.1917,2.6091,2.4217,1.6043,3.268,1.871,0,1
Deepak Chahar,2.7066,2.4489,4.1531,2.2399,3.9229,2.4511,0,1
Abdul Samad,1.4191,1.4191,0,1.4833,1.5551,1.7319,0,1
Abhishek Sharma,1.0987,1.0987,2.034,0.9202,0.6354,2.0545,0,1
Rashid Khan,2.8098,2.8098,3.9654,2.1732,3.4145,1.4385,0,0
Bhuvneshwar Kumar,3.6334,4.4851,3.4147,1.7435,3.5389,2.9423,0,0
Khaleel Ahmed,1.8718,1.8718,3.0934,1.4348,1.6106,0.8584,0,0
T Natarajan,1.7743,1.5166,0,2.2399,2.1879,2.7738,0,1
Devdutt Padikkal,3.0472,3.0472,0,3.1584,3.1982,3.4634,1,1
Aaron Finch,2.1948,2.497,0,2.1948,2.8136,1.2742,1,1
Virat Kohli,4.1977,4.1977,3.8335,2.47,3.1814,3.4508,1,1
AB de Villiers,4.183,4.5183,4.1904,3.2538,4.3486,1.8514,1,0
Shivam Dube,1.713,1.713,1.713,2.2902,0,0,1,0
Gurkeerat Singh Mann,2.772,1.703,2.772,0,1.6676,0,1,0
Washington Sundar,1.8312,1.6802,0.7354,2.4144,2.7164,0,1,0
Jos Buttler,3.2538,2.7948,3.1398,1.713,3.5418,2.3558,1,1
Steven Smith,2.6438,3.1921,3.0944,2.8276,3.1656,2.5796,1,0
Sanju Samson,2.6775,2.8118,3.6239,3.2538,3.2966,1.8202,1,0
Robin Uthappa,0.9848,3.3224,2.8848,0.9848,3.6602,1.7874,1,0
Mahipal Lomror,1.9882,1.9882,1.4378,2.9916,2.9916,3.09,1,1
Riyan Parag,2.011,2.011,2.8776,0.8864,1.411,1.4438,1,0
Rahul Tewatia,2.3458,2.3458,1.9882,2.772,1.2682,1.0772,1,1
Shivam Dube,1.9693,1.9693,0.6115,2.155,0.6354,0.5801,0,0
Washington Sundar,1.2589,2.0315,2.155,1.2471,0.9531,0.8584,0,0
Isuru Udana,1.8718,1.8718,0,2.034,2.1879,2.3328,0,1
Navdeep Saini,1.6763,1.6763,2.8032,1.4348,1.2929,1.7319,0,1
Adam Zampa,0.9385,2.1538,0,0.9202,0.6354,0.5801,0,0
Yuzvendra Chahal,3.5719,3.8353,3.8608,2.4819,4.2406,3.052,0,1
Mahipal Lomror,0.6808,0.6808,0,0,0,0,0,0
Riyan Parag,0.9385,0.9385,1.5317,0.6115,2.1879,0.5801,0,0
Rahul Tewatia,1.7743,2.2892,2.034,2.3609,1.6106,0.8584,0,1
Tom Curran,1.0987,1.6768,0,1.4348,0.6354,0.8584,0,0
Shreyas Gopal,2.4122,2.8296,3.6626,1.2471,3.6647,2.0101,0,1
Jaydev Unadkat,1.6763,3.4372,2.7063,1.2471,3.1189,2.9129,0,0
Jofra Archer,2.2892,2.2892,2.9483,2.0522,1.8039,2.2883,0,1
Prithvi Shaw,2.3686,2.3686,3.1784,2.6766,3.566,3.4634,1,1
Shikhar Dhawan,2.6438,3.8042,3.7714,2.0408,3.4436,2.2918,1,1
Shreyas Iyer,2.9232,2.9232,3.6076,3.1982,4.149,1.3652,1,1
Rishabh Pant,3.3103,3.3103,3.9096,2.9916,2.9616,2.782,1,1
Shimron Hetmyer,1.562,1.7358,1.9268,1.562,1.0116,1.0444,1,0
Marcus Stoinis,2.3458,2.5882,3.3736,2.3458,2.2788,0.8666,1,0
Ravichandran Ashwin,0.9848,1.753,1.5632,0.9848,2.705,0,1,0
Shubman Gill,2.6766,2.6766,3.502,2.8962,2.859,2.2048,1,0
Sunil Narine,2.1106,2.1106,2.1206,0.8864,1.951,1.0176,1,0
Rahul Tripathi,2.7164,2.2176,2.3004,2.7164,2.3772,2.782,1,1
Nitish Rana,2.3686,2.2176,3.298,2.772,2.9146,3.4634,1,1
Dinesh Karthik,2.7948,3.3224,3.5974,1.0374,3.539,1.5308,1,0
Andre Russell,3.0514,3.0514,4.0364,1.864,3.5418,1.8968,1,1
Eoin Morgan,2.162,2.2176,0,3.1426,2.3844,3.241,1,1
Shivam Mavi,0.952,0.952,0,1.411,0.992,0.4404,1,0
Marcus Stoinis,1.5166,1.9595,1.5317,1.9312,1.9283,1.7319,0,0
Ravichandran Ashwin,1.9693,4.4603,3.5598,2.155,4.4118,1.1602,0,0
Kagiso Rabada,2.5712,2.5712,4.0616,2.4819,2.9945,1.7319,0,0
Anrich Nortje,1.7743,1.7743,0,2.2399,2.3344,2.4719,0,1
Amit Mishra,3.5719,4.9025,3.0693,2.1732,4.072,2.913,0,0
Harshal Patel,1.7743,2.6091,1.4833,2.155,2.8259,2.4719,0,1
Sunil Narine,3.7981,4.0615,2.9242,1.2471,4.789,1.6665,0,0
Andre Russell,3.093,2.9955,3.4206,2.155,4.2406,2.4719,0,1
Pat Cummins,0.9385,1.934,0,1.2471,0.6354,0.8584,0,0
Kamlesh Nagarkoti,1.8718,1.8718,0,2.034,1.7484,1.6372,0,0
Shivam Mavi,1.2589,1.2589,0,2.2399,1.6795,0.5801,0,0
Varun Chakravarthy,0,1.7743,0,0,1.5551,1.7319,0,1
Quinton de Kock,2.6438,2.7659,3.7158,2.504,3.9282,3.569,1,1
Rohit Sharma,3.7509,4.0075,3.2768,3.0842,2.795,1.4252,1,0
Suryakumar Yadav,2.6438,2.4414,3.703,2.4484,3.1656,3.4648,1,1
Ishan Kishan,2.162,2.1848,1.8186,3.0472,2.6096,2.631,1,1
Kieron Pollard,3.6202,3.6202,3.5418,3.4548,4.2802,1.1828,1,0
Hardik Pandya,2.5696,2.5696,4.1262,2.5468,2.1808,2.3558,1,0
Krunal Pandya,2.5696,2.5696,2.641,2.2902,3.4862,1.0772,1,1
David Warner,3.9592,4.5183,4.4265,2.8776,4.0208,2.8222,1,1
Jonny Bairstow,3.4571,3.4571,3.9047,2.4086,2.2902,2.3558,1,0
Manish Pandey,2.6438,3.2691,3.6716,2.4514,3.7714,2.1862,1,1
Kane Williamson,2.6994,2.6994,2.4514,1.713,1.649,1.0176,1,0
Priyam Garg,2.772,2.772,0,2.772,1.1358,1.1686,1,0
Abhishek Sharma,1.562,2.2902,1.1358,1.8186,1.8186,1.4438,1,0
Abdul Samad,3.1426,3.1426,0,3.1426,2.2902,2.3558,1,0
Kieron Pollard,2.7378,2.7378,0,0.9202,1.9283,0.5801,0,0
Hardik Pandya,2.6148,2.3514,3.7052,0,2.9945,0,0,0
