,Consistency,TotalConsistency,Form,Opposition,Venue,DreamTeam
Jasprit Bumrah,3.2527,3.5161,4.1531,3.6078,4.601
Andre Russell,3.093,2.9955,3.4206000000000003,3.268,2.7737000000000003
Pat Cummins,0.9385000000000001,1.6763000000000001,0.0,1.8039,2.6196
Kamlesh Nagarkoti,1.2589,1.2589,0.0,0.0,1.7611999999999999
Varun Chakravarthy,0.0,1.2589,0.0,0.0,2.5249
Lockie Ferguson,0.9385000000000001,1.0987,1.5317,1.1685,0.0
Prasidh Krishna,1.7993000000000001,1.7993000000000001,2.1432,1.8039,2.4719
Kuldeep Yadav,2.4744,2.7378,1.8586,2.246,1.1602000000000001
Glenn Maxwell,1.5161,1.5161,0.0,1.2929,2.3413000000000004
Chris Jordan,0.9385000000000001,2.0570000000000004,0.0,1.1685,2.0395000000000003
Murugan Ashwin,1.5166000000000002,1.9340000000000002,2.1432,0.9531,2.7737000000000003
Ravi Bishnoi,1.6141,1.6141,0.0,1.9945999999999997,4.2122
Arshdeep Singh,1.8365,1.8718000000000004,1.8102,0.0,3.052
Mohammed Shami,2.2892,2.6148,3.8685,2.9697999999999998,4.0522
Marcus Stoinis,1.7743000000000002,2.0570000000000004,1.5317,2.3344,2.1936
Axar Patel,1.7738000000000003,3.5161,2.9424,2.6521,4.0286
Ravichandran Ashwin,1.8718000000000004,4.460300000000001,3.5598,4.5957,4.0286
Tushar Deshpande,1.7743000000000002,0.0,0.0,0.0,0.0
Kagiso Rabada,3.0501,3.0501,4.0616,3.2874999999999996,4.601
Anrich Nortje,1.8718000000000004,1.8718000000000004,0.0,0.6354,4.2122
Sam Curran,1.8718000000000004,2.3147,3.0496,2.0193,3.6113
